"County","Site.Code","Name","Category","Alias","Primary.Watershed","Secondary.Watershed","Watershed.Code","Recreational.Fishing.Area","NS.Mapbook.Reference","Topology.Map.Reference","UTM.Zone","Easting","Northing","Captured.Date","Captured.By","Species.Name","Notes","Capture.Method","Origin","Effort","Effort.Unit","Number.Caught","Catch.Unit.Effort","Average.Length..cm.","Average.Weight..g.","Historical","Surface.Area..ha."
"Annapolis",5,"PARADISE","Lake","","Annapolis","Annapolis River","DC3P",5,"55Y5","21A14",20,328302,4959000,"01 Jan 1989","","Smallmouth Bass",NA,"unknown","Illegal Introduction",NA,"",NA,NA,NA,NA,"True",NA
"Annapolis",11,"GRAND","Lake","","Annapolis","Lequille River","DC2",5,"64V3","21A11",20,304050,4946330,"01 Jan 1993","","Smallmouth Bass",NA,"unknown","Illegal Introduction",NA,"",NA,NA,NA,NA,"True",NA
"Annapolis",30,"WATERLOO","Lake","","Annapolis","Annapolis River","DC3CC",5,"65V1","21A10",20,343477,4954940,"01 Jan 2000","","Smallmouth Bass",NA,"unknown","Illegal Introduction",NA,"",NA,NA,NA,NA,"True",NA
"Annapolis",46,"YOUNGS","Lake","","Annapolis","Shore Direct","DCSD54",5,"55V4","21A14",20,307044,4965760,"01 Jan 1992","","Smallmouth Bass",NA,"unknown","Illegal Introduction",NA,"",NA,NA,NA,NA,"True",NA
"Annapolis",982,"MCGILL","Lake","","Annapolis","Annapolis River","DC3CC",5,"64Z2","21A11",20,340834,4949990,"01 Jan 2000","","Smallmouth Bass",NA,"unknown","Illegal Introduction",NA,"",NA,NA,NA,NA,"True",NA
"Annapolis",984,"LAMBS","Lake","","Annapolis","Lequille River","DC2G",5,"64V2","21A11",20,305937,4949020,"01 Jan 2006","","Smallmouth Bass",NA,"unknown","Illegal Introduction",NA,"",NA,NA,NA,NA,"True",NA
"Annapolis",986,"ELLIOTT","Lake","","Annapolis","Shore Direct","DCSD29",5,"55Y2","21A14",20,327739,4978710,"01 Jan 1950","","Smallmouth Bass",NA,"unknown","Legal Introduction",NA,"",NA,NA,NA,NA,"True",NA
"Annapolis",986,"ELLIOTT","Lake","","Annapolis","Shore Direct","DCSD29",5,"55Y2","21A14",20,327739,4978710,"15 Sep 1986","","Smallmouth Bass",NA,"100 ft gill net","Illegal Introduction",NA,"",NA,NA,NA,NA,"True",17.5
"Annapolis",986,"ELLIOTT","Lake","","Annapolis","Shore Direct","DCSD29",5,"55Y2","21A14",20,327739,4978710,"04 Sep 2003","","Smallmouth Bass",NA,"100 ft gill net","Illegal Introduction",NA,"",NA,NA,NA,NA,"True",NA
"Annapolis",988,"BIG MOLLY UPSIM","Lake","","Annapolis","Annapolis River","DC3CC",5,"64Z2","21A11",20,337626,4946589,"01 Jan 2000","","Smallmouth Bass",NA,"unknown","Illegal Introduction",NA,"",NA,NA,NA,NA,"True",NA
"Cape Breton",2,"BLACKETTS","Lake","","Salmon and Mira","Sydney River","FJ10",1,"14W4","11K01",20,708133,5105010,"19 Jun 2009","leblanje","Smallmouth Bass",NA,"angling","Illegal Introduction",NA,"",NA,NA,NA,NA,"True",NA
