"County","Site.Code","Name","Category","Alias","Primary.Watershed","Secondary.Watershed","Watershed.Code","Recreational.Fishing.Area","NS.Mapbook.Reference","Topology.Map.Reference","UTM.Zone","Easting","Northing","Captured.Date","Captured.By","Species.Name","Notes","Capture.Method","Origin","Effort","Effort.Unit","Number.Caught","Catch.Unit.Effort","Average.Length..cm.","Average.Weight..g.","Historical","Surface.Area..ha."
"Annapolis",1,"WAMBOLDT","Lake","","Annapolis","Annapolis River","DC3CC",5,"55Z3","21A14",20,338560,4968500,"18 Jul 1989","","Brown Bullhead",NA,"100 ft gill net","Natural Occurrence",NA,"",NA,NA,NA,NA,"True",3.8
"Annapolis",2,"PAT KEMPTON","Lake","RED","Mersey","Mersey River","ED1X",5,"72Y2","21A06",20,326231,4922320,"20 Aug 1974","","Yellow Perch",NA,"100 ft gill net","Natural Occurrence",NA,"",NA,NA,NA,NA,"True",16.7
"Annapolis",2,"PAT KEMPTON","Lake","RED","Mersey","Mersey River","ED1X",5,"72Y2","21A06",20,326231,4922320,"20 Aug 1974","","Brown Bullhead",NA,"100 ft gill net","Natural Occurrence",NA,"",NA,NA,NA,NA,"True",16.7
"Annapolis",2,"PAT KEMPTON","Lake","RED","Mersey","Mersey River","ED1X",5,"72Y2","21A06",20,326231,4922320,"20 Aug 1974","","White Sucker",NA,"100 ft gill net","Natural Occurrence",NA,"",NA,NA,NA,NA,"True",16.7
"Annapolis",3,"PRETTY MARY","Lake","","Herring Cove and Medway","Medway River","EE2KK",5,"72Y1","21A06",20,328235,4926280,"01 Aug 1982","","Brook Trout",NA,"100 ft gill net","Natural Occurrence",NA,"",NA,NA,NA,NA,"True",68.4
"Annapolis",3,"PRETTY MARY","Lake","","Herring Cove and Medway","Medway River","EE2KK",5,"72Y1","21A06",20,328235,4926280,"01 Aug 1982","","Yellow Perch",NA,"100 ft gill net","Natural Occurrence",NA,"",NA,NA,NA,NA,"True",68.4
"Annapolis",3,"PRETTY MARY","Lake","","Herring Cove and Medway","Medway River","EE2KK",5,"72Y1","21A06",20,328235,4926280,"01 Aug 1982","","Brown Bullhead",NA,"100 ft gill net","Natural Occurrence",NA,"",NA,NA,NA,NA,"True",68.4
"Annapolis",3,"PRETTY MARY","Lake","","Herring Cove and Medway","Medway River","EE2KK",5,"72Y1","21A06",20,328235,4926280,"01 Aug 1982","","American Eel",NA,"visual observation","Natural Occurrence",NA,"",NA,NA,NA,NA,"True",68.4
"Annapolis",3,"PRETTY MARY","Lake","","Herring Cove and Medway","Medway River","EE2KK",5,"72Y1","21A06",20,328235,4926280,"01 Aug 1982","","White Sucker",NA,"100 ft gill net","Natural Occurrence",NA,"",NA,NA,NA,NA,"True",68.4
"Annapolis",3,"PRETTY MARY","Lake","","Herring Cove and Medway","Medway River","EE2KK",5,"72Y1","21A06",20,328235,4926280,"01 Aug 1982","","Golden Shiner",NA,"100 ft gill net","Natural Occurrence",NA,"",NA,NA,NA,NA,"True",68.4
"Annapolis",3,"PRETTY MARY","Lake","","Herring Cove and Medway","Medway River","EE2KK",5,"72Y1","21A06",20,328235,4926280,"01 Aug 1982","","Banded Killifish",NA,"seine net","Natural Occurrence",NA,"",NA,NA,NA,NA,"True",68.4
"Annapolis",4,"TROUT","Lake","","Annapolis","Annapolis River","DC3CC",5,"55Z5","21A14",20,336249,4960010,"05 Jun 1975","","Brook Trout",NA,"100 ft gill net","Natural Occurrence",NA,"",NA,NA,NA,NA,"True",NA
"Annapolis",4,"TROUT","Lake","","Annapolis","Annapolis River","DC3CC",5,"55Z5","21A14",20,336249,4960010,"05 Jun 1975","","White Perch",NA,"100 ft gill net","Natural Occurrence",NA,"",NA,NA,NA,NA,"True",NA
"Annapolis",4,"TROUT","Lake","","Annapolis","Annapolis River","DC3CC",5,"55Z5","21A14",20,336249,4960010,"05 Jun 1975","","Yellow Perch",NA,"100 ft gill net","Natural Occurrence",NA,"",NA,NA,NA,NA,"True",NA
"Annapolis",4,"TROUT","Lake","","Annapolis","Annapolis River","DC3CC",5,"55Z5","21A14",20,336249,4960010,"05 Jun 1975","","Brown Bullhead",NA,"100 ft gill net","Natural Occurrence",NA,"",NA,NA,NA,NA,"True",NA
"Annapolis",4,"TROUT","Lake","","Annapolis","Annapolis River","DC3CC",5,"55Z5","21A14",20,336249,4960010,"05 Jun 1975","","Golden Shiner",NA,"100 ft gill net","Natural Occurrence",NA,"",NA,NA,NA,NA,"True",NA
"Annapolis",4,"TROUT","Lake","","Annapolis","Annapolis River","DC3CC",5,"55Z5","21A14",20,336249,4960010,"05 Jun 1975","","Banded Killifish",NA,"seine net","Natural Occurrence",NA,"",NA,NA,NA,NA,"True",NA
"Annapolis",5,"PARADISE","Lake","","Annapolis","Annapolis River","DC3P",5,"55Y5","21A14",20,328302,4959000,"16 Aug 1983","","Yellow Perch",NA,"300 ft gill net","Natural Occurrence",NA,"",NA,NA,NA,NA,"True",NA
"Annapolis",5,"PARADISE","Lake","","Annapolis","Annapolis River","DC3P",5,"55Y5","21A14",20,328302,4959000,"16 Aug 1983","","Brown Bullhead",NA,"300 ft gill net","Natural Occurrence",NA,"",NA,NA,NA,NA,"True",NA
"Annapolis",5,"PARADISE","Lake","","Annapolis","Annapolis River","DC3P",5,"55Y5","21A14",20,328302,4959000,"16 Aug 1983","","American Eel",NA,"unknown","Natural Occurrence",NA,"",NA,NA,NA,NA,"True",NA
"Annapolis",5,"PARADISE","Lake","","Annapolis","Annapolis River","DC3P",5,"55Y5","21A14",20,328302,4959000,"16 Aug 1983","","White Sucker",NA,"100 ft gill net","Natural Occurrence",NA,"",NA,NA,NA,NA,"True",NA
"Annapolis",5,"PARADISE","Lake","","Annapolis","Annapolis River","DC3P",5,"55Y5","21A14",20,328302,4959000,"16 Aug 1983","","Golden Shiner",NA,"100 ft gill net","Natural Occurrence",NA,"",NA,NA,NA,NA,"True",NA
"Annapolis",5,"PARADISE","Lake","","Annapolis","Annapolis River","DC3P",5,"55Y5","21A14",20,328302,4959000,"16 Aug 1983","","Banded Killifish",NA,"minnow pail","Natural Occurrence",NA,"",NA,NA,NA,NA,"True",NA
"Annapolis",5,"PARADISE","Lake","","Annapolis","Annapolis River","DC3P",5,"55Y5","21A14",20,328302,4959000,"01 Jan 1989","","Smallmouth Bass",NA,"unknown","Illegal Introduction",NA,"",NA,NA,NA,NA,"True",NA
"Annapolis",6,"ALMA","Lake","","Herring Cove and Medway","Medway River","EE2",5,"64Y3","21A11",20,332331,4942630,"06 Jun 1984","","Brook Trout",NA,"100 ft gill net","Natural Occurrence",NA,"",NA,NA,NA,NA,"True",NA
"Annapolis",6,"ALMA","Lake","","Herring Cove and Medway","Medway River","EE2",5,"64Y3","21A11",20,332331,4942630,"06 Jun 1984","","White Perch",NA,"100 ft gill net","Natural Occurrence",NA,"",NA,NA,NA,NA,"True",NA
"Annapolis",6,"ALMA","Lake","","Herring Cove and Medway","Medway River","EE2",5,"64Y3","21A11",20,332331,4942630,"06 Jun 1984","","Yellow Perch",NA,"100 ft gill net","Natural Occurrence",NA,"",NA,NA,NA,NA,"True",NA
"Annapolis",6,"ALMA","Lake","","Herring Cove and Medway","Medway River","EE2",5,"64Y3","21A11",20,332331,4942630,"06 Jun 1984","","Brown Bullhead",NA,"100 ft gill net","Natural Occurrence",NA,"",NA,NA,NA,NA,"True",NA
"Annapolis",6,"ALMA","Lake","","Herring Cove and Medway","Medway River","EE2",5,"64Y3","21A11",20,332331,4942630,"06 Jun 1984","","American Eel",NA,"100 ft gill net","Natural Occurrence",NA,"",NA,NA,NA,NA,"True",NA
"Annapolis",6,"ALMA","Lake","","Herring Cove and Medway","Medway River","EE2",5,"64Y3","21A11",20,332331,4942630,"06 Jun 1984","","White Sucker",NA,"100 ft gill net","Natural Occurrence",NA,"",NA,NA,NA,NA,"True",NA
"Annapolis",6,"ALMA","Lake","","Herring Cove and Medway","Medway River","EE2",5,"64Y3","21A11",20,332331,4942630,"06 Jun 1984","","Golden Shiner",NA,"100 ft gill net","Natural Occurrence",NA,"",NA,NA,NA,NA,"True",NA
"Annapolis",9,"LAROSE","Lake","","Annapolis","Annapolis River","DC3D",5,"64V1","21A11",20,306644,4953960,"01 Aug 1968","","Banded Killifish",NA,"minnow pail","Natural Occurrence",NA,"",NA,NA,NA,NA,"True",53.8
"Annapolis",10,"GIBSONS","Lake","","Annapolis","Annapolis River","DC3D",5,"64W1","21A11",20,317443,4953990,"18 Aug 1975","","Brook Trout",NA,"100 ft gill net","Natural Occurrence",NA,"",NA,NA,NA,NA,"True",21.1
"Annapolis",10,"GIBSONS","Lake","","Annapolis","Annapolis River","DC3D",5,"64W1","21A11",20,317443,4953990,"18 Aug 1975","","Striped Bass",NA,"100 ft gill net","Natural Occurrence",NA,"",NA,NA,NA,NA,"True",21.1
"Annapolis",10,"GIBSONS","Lake","","Annapolis","Annapolis River","DC3D",5,"64W1","21A11",20,317443,4953990,"18 Aug 1975","","Yellow Perch",NA,"100 ft gill net","Natural Occurrence",NA,"",NA,NA,NA,NA,"True",21.1
"Annapolis",10,"GIBSONS","Lake","","Annapolis","Annapolis River","DC3D",5,"64W1","21A11",20,317443,4953990,"18 Aug 1975","","Brown Bullhead",NA,"100 ft gill net","Natural Occurrence",NA,"",NA,NA,NA,NA,"True",21.1
"Annapolis",10,"GIBSONS","Lake","","Annapolis","Annapolis River","DC3D",5,"64W1","21A11",20,317443,4953990,"18 Aug 1975","","American Eel",NA,"visual observation","Natural Occurrence",NA,"",NA,NA,NA,NA,"True",21.1
"Annapolis",10,"GIBSONS","Lake","","Annapolis","Annapolis River","DC3D",5,"64W1","21A11",20,317443,4953990,"18 Aug 1975","","White Sucker",NA,"100 ft gill net","Natural Occurrence",NA,"",NA,NA,NA,NA,"True",21.1
"Annapolis",10,"GIBSONS","Lake","","Annapolis","Annapolis River","DC3D",5,"64W1","21A11",20,317443,4953990,"18 Aug 1975","","Golden Shiner",NA,"100 ft gill net","Natural Occurrence",NA,"",NA,NA,NA,NA,"True",21.1
"Annapolis",10,"GIBSONS","Lake","","Annapolis","Annapolis River","DC3D",5,"64W1","21A11",20,317443,4953990,"18 Aug 1975","","Banded Killifish",NA,"seine net","Natural Occurrence",NA,"",NA,NA,NA,NA,"True",21.1
"Annapolis",11,"GRAND","Lake","","Annapolis","Lequille River","DC2",5,"64V3","21A11",20,304050,4946330,"25 Aug 1975","","White Perch",NA,"100 ft gill net","Natural Occurrence",NA,"",NA,NA,NA,NA,"True",NA
"Annapolis",11,"GRAND","Lake","","Annapolis","Lequille River","DC2",5,"64V3","21A11",20,304050,4946330,"25 Aug 1975","","Yellow Perch",NA,"100 ft gill net","Natural Occurrence",NA,"",NA,NA,NA,NA,"True",NA
"Annapolis",11,"GRAND","Lake","","Annapolis","Lequille River","DC2",5,"64V3","21A11",20,304050,4946330,"25 Aug 1975","","Brown Bullhead",NA,"100 ft gill net","Natural Occurrence",NA,"",NA,NA,NA,NA,"True",NA
"Annapolis",11,"GRAND","Lake","","Annapolis","Lequille River","DC2",5,"64V3","21A11",20,304050,4946330,"25 Aug 1975","","American Eel",NA,"visual observation","Natural Occurrence",NA,"",NA,NA,NA,NA,"True",NA
"Annapolis",11,"GRAND","Lake","","Annapolis","Lequille River","DC2",5,"64V3","21A11",20,304050,4946330,"25 Aug 1975","","White Sucker",NA,"100 ft gill net","Natural Occurrence",NA,"",NA,NA,NA,NA,"True",NA
"Annapolis",11,"GRAND","Lake","","Annapolis","Lequille River","DC2",5,"64V3","21A11",20,304050,4946330,"25 Aug 1975","","Golden Shiner",NA,"100 ft gill net","Natural Occurrence",NA,"",NA,NA,NA,NA,"True",NA
"Annapolis",11,"GRAND","Lake","","Annapolis","Lequille River","DC2",5,"64V3","21A11",20,304050,4946330,"25 Aug 1975","","Banded Killifish",NA,"seine net","Natural Occurrence",NA,"",NA,NA,NA,NA,"True",NA
"Annapolis",11,"GRAND","Lake","","Annapolis","Lequille River","DC2",5,"64V3","21A11",20,304050,4946330,"01 Jan 1993","","Smallmouth Bass",NA,"unknown","Illegal Introduction",NA,"",NA,NA,NA,NA,"True",NA
"Annapolis",12,"BAILLE","Lake","","Annapolis","Lequille River","DC2F",5,"64V4","21A11",20,303209,4941270,"26 Jul 1975","","Yellow Perch",NA,"100 ft gill net","Natural Occurrence",NA,"",NA,NA,NA,NA,"True",19.3
"Annapolis",12,"BAILLE","Lake","","Annapolis","Lequille River","DC2F",5,"64V4","21A11",20,303209,4941270,"26 Jul 1975","","American Eel",NA,"visual observation","Natural Occurrence",NA,"",NA,NA,NA,NA,"True",19.3
"Annapolis",12,"BAILLE","Lake","","Annapolis","Lequille River","DC2F",5,"64V4","21A11",20,303209,4941270,"26 Jul 1975","","White Sucker",NA,"100 ft gill net","Natural Occurrence",NA,"",NA,NA,NA,NA,"True",19.3
"Annapolis",12,"BAILLE","Lake","","Annapolis","Lequille River","DC2F",5,"64V4","21A11",20,303209,4941270,"26 Jul 1975","","Golden Shiner",NA,"seine net","Natural Occurrence",NA,"",NA,NA,NA,NA,"True",19.3
"Annapolis",12,"BAILLE","Lake","","Annapolis","Lequille River","DC2F",5,"64V4","21A11",20,303209,4941270,"26 Jul 1975","","Banded Killifish",NA,"seine net","Natural Occurrence",NA,"",NA,NA,NA,NA,"True",19.3
"Annapolis",13,"SANDY BOTTOM","Lake","","Mersey","Mersey River","ED1JJ",5,"64V4","21A11",20,306629,4939770,"21 Jul 1975","","Yellow Perch",NA,"100 ft gill net","Natural Occurrence",NA,"",NA,NA,NA,NA,"True",NA
"Annapolis",13,"SANDY BOTTOM","Lake","","Mersey","Mersey River","ED1JJ",5,"64V4","21A11",20,306629,4939770,"21 Jul 1975","","Brown Bullhead",NA,"100 ft gill net","Natural Occurrence",NA,"",NA,NA,NA,NA,"True",NA
"Annapolis",13,"SANDY BOTTOM","Lake","","Mersey","Mersey River","ED1JJ",5,"64V4","21A11",20,306629,4939770,"21 Jul 1975","","White Sucker",NA,"100 ft gill net","Natural Occurrence",NA,"",NA,NA,NA,NA,"True",NA
"Annapolis",13,"SANDY BOTTOM","Lake","","Mersey","Mersey River","ED1JJ",5,"64V4","21A11",20,306629,4939770,"21 Jul 1975","","Banded Killifish",NA,"seine net","Natural Occurrence",NA,"",NA,NA,NA,NA,"True",NA
"Annapolis",14,"PITTS","Lake","","Mersey","Mersey River","ED1GG",5,"64V4","21A11",20,308964,4939950,"15 Aug 1975","","Brook Trout",NA,"100 ft gill net","Natural Occurrence",NA,"",NA,NA,NA,NA,"True",15.4
"Annapolis",14,"PITTS","Lake","","Mersey","Mersey River","ED1GG",5,"64V4","21A11",20,308964,4939950,"15 Aug 1975","","Yellow Perch",NA,"100 ft gill net","Natural Occurrence",NA,"",NA,NA,NA,NA,"True",15.4
"Annapolis",14,"PITTS","Lake","","Mersey","Mersey River","ED1GG",5,"64V4","21A11",20,308964,4939950,"15 Aug 1975","","Brown Bullhead",NA,"100 ft gill net","Natural Occurrence",NA,"",NA,NA,NA,NA,"True",15.4
"Annapolis",14,"PITTS","Lake","","Mersey","Mersey River","ED1GG",5,"64V4","21A11",20,308964,4939950,"15 Aug 1975","","Lake Whitefish",NA,"100 ft gill net","Natural Occurrence",NA,"",NA,NA,NA,NA,"True",15.4
"Annapolis",14,"PITTS","Lake","","Mersey","Mersey River","ED1GG",5,"64V4","21A11",20,308964,4939950,"15 Aug 1975","","White Sucker",NA,"100 ft gill net","Natural Occurrence",NA,"",NA,NA,NA,NA,"True",15.4
"Annapolis",14,"PITTS","Lake","","Mersey","Mersey River","ED1GG",5,"64V4","21A11",20,308964,4939950,"15 Aug 1975","","Golden Shiner",NA,"seine net","Natural Occurrence",NA,"",NA,NA,NA,NA,"True",15.4
"Annapolis",15,"BOOT","Lake","","Mersey","Mersey River","ED1",5,"64W4","21A11",20,310758,4938150,"22 Jul 1975","","Yellow Perch",NA,"100 ft gill net","Natural Occurrence",NA,"",NA,NA,NA,NA,"True",NA
"Annapolis",15,"BOOT","Lake","","Mersey","Mersey River","ED1",5,"64W4","21A11",20,310758,4938150,"22 Jul 1975","","Brown Bullhead",NA,"100 ft gill net","Natural Occurrence",NA,"",NA,NA,NA,NA,"True",NA
"Annapolis",15,"BOOT","Lake","","Mersey","Mersey River","ED1",5,"64W4","21A11",20,310758,4938150,"22 Jul 1975","","White Sucker",NA,"100 ft gill net","Natural Occurrence",NA,"",NA,NA,NA,NA,"True",NA
"Annapolis",15,"BOOT","Lake","","Mersey","Mersey River","ED1",5,"64W4","21A11",20,310758,4938150,"22 Jul 1975","","Creek Chub",NA,"seine net","Natural Occurrence",NA,"",NA,NA,NA,NA,"True",NA
"Annapolis",15,"BOOT","Lake","","Mersey","Mersey River","ED1",5,"64W4","21A11",20,310758,4938150,"22 Jul 1975","","Golden Shiner",NA,"100 ft gill net","Natural Occurrence",NA,"",NA,NA,NA,NA,"True",NA
"Annapolis",15,"BOOT","Lake","","Mersey","Mersey River","ED1",5,"64W4","21A11",20,310758,4938150,"22 Jul 1975","","Banded Killifish",NA,"seine net","Natural Occurrence",NA,"",NA,NA,NA,NA,"True",NA
"Annapolis",16,"FISHER","Lake","","Mersey","Mersey River","ED1",5,"64W5","21A11",20,314005,4935440,"21 Aug 1975","","Brook Trout",NA,"100 ft gill net","Natural Occurrence",NA,"",NA,NA,NA,NA,"True",NA
"Annapolis",16,"FISHER","Lake","","Mersey","Mersey River","ED1",5,"64W5","21A11",20,314005,4935440,"21 Aug 1975","","Yellow Perch",NA,"100 ft gill net","Natural Occurrence",NA,"",NA,NA,NA,NA,"True",NA
"Annapolis",16,"FISHER","Lake","","Mersey","Mersey River","ED1",5,"64W5","21A11",20,314005,4935440,"21 Aug 1975","","Brown Bullhead",NA,"100 ft gill net","Natural Occurrence",NA,"",NA,NA,NA,NA,"True",NA
"Annapolis",16,"FISHER","Lake","","Mersey","Mersey River","ED1",5,"64W5","21A11",20,314005,4935440,"21 Aug 1975","","White Sucker",NA,"100 ft gill net","Natural Occurrence",NA,"",NA,NA,NA,NA,"True",NA
"Annapolis",16,"FISHER","Lake","","Mersey","Mersey River","ED1",5,"64W5","21A11",20,314005,4935440,"21 Aug 1975","","Golden Shiner",NA,"100 ft gill net","Natural Occurrence",NA,"",NA,NA,NA,NA,"True",NA
"Annapolis",16,"FISHER","Lake","","Mersey","Mersey River","ED1",5,"64W5","21A11",20,314005,4935440,"21 Aug 1975","","Banded Killifish",NA,"seine net","Natural Occurrence",NA,"",NA,NA,NA,NA,"True",NA
"Annapolis",17,"SUNDOWN","Lake","","Sissiboo and Bear","Bear River","DB2N",5,"64V5","21A11",20,308482,4934780,"07 Aug 1975","","Brook Trout",NA,"100 ft gill net","Natural Occurrence",NA,"",NA,NA,NA,NA,"True",12.8
"Annapolis",17,"SUNDOWN","Lake","","Sissiboo and Bear","Bear River","DB2N",5,"64V5","21A11",20,308482,4934780,"07 Aug 1975","","Yellow Perch",NA,"100 ft gill net","Natural Occurrence",NA,"",NA,NA,NA,NA,"True",12.8
"Annapolis",17,"SUNDOWN","Lake","","Sissiboo and Bear","Bear River","DB2N",5,"64V5","21A11",20,308482,4934780,"07 Aug 1975","","Brown Bullhead",NA,"100 ft gill net","Natural Occurrence",NA,"",NA,NA,NA,NA,"True",12.8
"Annapolis",17,"SUNDOWN","Lake","","Sissiboo and Bear","Bear River","DB2N",5,"64V5","21A11",20,308482,4934780,"07 Aug 1975","","American Eel",NA,"unknown","Natural Occurrence",NA,"",NA,NA,NA,NA,"True",12.8
"Annapolis",17,"SUNDOWN","Lake","","Sissiboo and Bear","Bear River","DB2N",5,"64V5","21A11",20,308482,4934780,"07 Aug 1975","","Golden Shiner",NA,"100 ft gill net","Natural Occurrence",NA,"",NA,NA,NA,NA,"True",12.8
"Annapolis",17,"SUNDOWN","Lake","","Sissiboo and Bear","Bear River","DB2N",5,"64V5","21A11",20,308482,4934780,"07 Aug 1975","","Banded Killifish",NA,"seine net","Natural Occurrence",NA,"",NA,NA,NA,NA,"True",12.8
"Annapolis",20,"ZWICKERS","Lake","","Annapolis","Annapolis River","DC3CC",5,"64Z1","21A11",20,338784,4955340,"23 Aug 1950","","Brook Trout",NA,"100 ft gill net","Natural Occurrence",NA,"",NA,NA,NA,NA,"True",51.5
"Annapolis",20,"ZWICKERS","Lake","","Annapolis","Annapolis River","DC3CC",5,"64Z1","21A11",20,338784,4955340,"23 Aug 1950","","White Perch",NA,"300 ft gill net","Natural Occurrence",NA,"",NA,NA,NA,NA,"True",51.5
"Annapolis",20,"ZWICKERS","Lake","","Annapolis","Annapolis River","DC3CC",5,"64Z1","21A11",20,338784,4955340,"23 Aug 1950","","Yellow Perch",NA,"300 ft gill net","Natural Occurrence",NA,"",NA,NA,NA,NA,"True",51.5
"Annapolis",20,"ZWICKERS","Lake","","Annapolis","Annapolis River","DC3CC",5,"64Z1","21A11",20,338784,4955340,"23 Aug 1950","","Brown Bullhead",NA,"100 ft gill net","Natural Occurrence",NA,"",NA,NA,NA,NA,"True",51.5
"Annapolis",20,"ZWICKERS","Lake","","Annapolis","Annapolis River","DC3CC",5,"64Z1","21A11",20,338784,4955340,"23 Aug 1950","","White Sucker",NA,"300 ft gill net","Natural Occurrence",NA,"",NA,NA,NA,NA,"True",51.5
"Annapolis",20,"ZWICKERS","Lake","","Annapolis","Annapolis River","DC3CC",5,"64Z1","21A11",20,338784,4955340,"23 Aug 1950","","Golden Shiner",NA,"100 ft gill net","Natural Occurrence",NA,"",NA,NA,NA,NA,"True",51.5
"Annapolis",20,"ZWICKERS","Lake","","Annapolis","Annapolis River","DC3CC",5,"64Z1","21A11",20,338784,4955340,"23 Aug 1950","","Banded Killifish",NA,"100 ft gill net","Natural Occurrence",NA,"",NA,NA,NA,NA,"True",51.5
"Annapolis",20,"ZWICKERS","Lake","","Annapolis","Annapolis River","DC3CC",5,"64Z1","21A11",20,338784,4955340,"17 Aug 1983","","Brook Trout",NA,"100 ft gill net","Natural Occurrence",NA,"",NA,NA,NA,NA,"True",NA
"Annapolis",20,"ZWICKERS","Lake","","Annapolis","Annapolis River","DC3CC",5,"64Z1","21A11",20,338784,4955340,"17 Aug 1983","","White Perch",NA,"300 ft gill net","Natural Occurrence",NA,"",NA,NA,NA,NA,"True",NA
"Annapolis",20,"ZWICKERS","Lake","","Annapolis","Annapolis River","DC3CC",5,"64Z1","21A11",20,338784,4955340,"17 Aug 1983","","Yellow Perch",NA,"300 ft gill net","Natural Occurrence",NA,"",NA,NA,NA,NA,"True",NA
"Annapolis",20,"ZWICKERS","Lake","","Annapolis","Annapolis River","DC3CC",5,"64Z1","21A11",20,338784,4955340,"17 Aug 1983","","Brown Bullhead",NA,"100 ft gill net","Natural Occurrence",NA,"",NA,NA,NA,NA,"True",NA
"Annapolis",20,"ZWICKERS","Lake","","Annapolis","Annapolis River","DC3CC",5,"64Z1","21A11",20,338784,4955340,"17 Aug 1983","","White Sucker",NA,"300 ft gill net","Natural Occurrence",NA,"",NA,NA,NA,NA,"True",NA
"Annapolis",20,"ZWICKERS","Lake","","Annapolis","Annapolis River","DC3CC",5,"64Z1","21A11",20,338784,4955340,"17 Aug 1983","","Golden Shiner",NA,"100 ft gill net","Natural Occurrence",NA,"",NA,NA,NA,NA,"True",NA
"Annapolis",20,"ZWICKERS","Lake","","Annapolis","Annapolis River","DC3CC",5,"64Z1","21A11",20,338784,4955340,"17 Aug 1983","","Banded Killifish",NA,"100 ft gill net","Natural Occurrence",NA,"",NA,NA,NA,NA,"True",NA
"Annapolis",23,"QUILTY","Lake","","Annapolis","Annapolis River","DC3CC",5,"64Z1","21A11",20,338756,4954440,"25 Jun 1975","","Yellow Perch",NA,"angler report","Natural Occurrence",NA,"",NA,NA,NA,NA,"True",32.7
"Annapolis",23,"QUILTY","Lake","","Annapolis","Annapolis River","DC3CC",5,"64Z1","21A11",20,338756,4954440,"25 Jun 1975","","Banded Killifish",NA,"seine net","Natural Occurrence",NA,"",NA,NA,NA,NA,"True",32.7
"Annapolis",25,"LAKE PLEASANT","Lake","","LaHave","LaHave River","EF2AA",5,"65W3","21A10",20,351491,4942310,"18 Jun 1975","","White Perch",NA,"100 ft gill net","Natural Occurrence",NA,"",NA,NA,NA,NA,"True",NA
"Annapolis",25,"LAKE PLEASANT","Lake","","LaHave","LaHave River","EF2AA",5,"65W3","21A10",20,351491,4942310,"18 Jun 1975","","Yellow Perch",NA,"seine net","Natural Occurrence",NA,"",NA,NA,NA,NA,"True",NA
"Annapolis",25,"LAKE PLEASANT","Lake","","LaHave","LaHave River","EF2AA",5,"65W3","21A10",20,351491,4942310,"18 Jun 1975","","Brown Bullhead",NA,"100 ft gill net","Natural Occurrence",NA,"",NA,NA,NA,NA,"True",NA
